[2025-12-29 11:01:35,026: INFO: main: Welcome to our custom log]
[2025-12-30 10:48:10,670: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-30 10:48:10,698: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-30 10:48:10,698: INFO: common: created directory at: artifacts]
[2025-12-30 10:48:10,703: INFO: common: created directory at: artifacts/data_ingestion]
[2025-12-30 10:48:10,703: INFO: 3281805289: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-12-30 10:50:19,427: INFO: 3281805289: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-12-30 15:53:21,252: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-30 15:53:21,280: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-30 15:53:21,284: INFO: common: created directory at: artifacts]
[2025-12-30 15:53:21,287: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-12-30 15:53:33,662: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-12-30 15:55:15,120: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-30 15:55:15,124: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-30 15:55:15,126: INFO: common: created directory at: artifacts]
[2025-12-30 15:55:15,127: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-12-30 15:55:15,652: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
[2025-12-30 15:58:24,484: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-12-30 15:58:24,503: INFO: common: yaml file: params.yaml loaded successfully]
[2025-12-30 15:58:24,506: INFO: common: created directory at: artifacts]
[2025-12-30 15:58:24,508: INFO: common: created directory at: artifacts/prepare_base_model]
[2025-12-30 15:58:24,970: WARNING: saving_utils: Compiled the loaded model, but the compiled metrics have yet to be built. `model.compile_metrics` will be empty until you train or evaluate the model.]
